3D CG rendering,三维CG渲染,0.65
3D glasses,3d眼镜,0.65
abacus,算盘,0.65
abalone,鲍鱼,0.65
monastery,修道院,0.65
belly,肚子,0.65
academy,学院,0.65
accessory,附件,0.8
accident,事故,0.71
accordion,手风琴,0.75
acorn,橡子,0.65
acrylic paint,丙烯颜料,0.65
act,表演,0.65
action,行动,0.8
action film,动作电影,0.65
activity,活动,0.8
actor,演员,0.8
adaptation,改编本,0.65
add,添加,0.65
adhesive tape,胶带,0.65
adjust,调整,0.65
adult,成人,0.8
adventure,冒险,0.65
advertisement,广告,0.8
antenna,天线,0.8
aerobics,有氧运动,0.65
spray can,喷雾罐,0.65
afro,爆炸头,0.65
agriculture,农业,0.65
aid,帮助,0.65
air conditioner,空调,0.65
air conditioning,空调系统,0.65
air sock,风向标,0.65
aircraft cabin,飞机客舱,0.65
aircraft model,飞机模型,0.65
air field,机场,0.65
air line,航线,0.8
airliner,客机,0.65
airman,飞行员,0.65
plane,飞机,0.9
airplane window,飞机窗口,0.65
airport,机场,0.9
airport runway,机场跑道,0.65
airport terminal,航站楼,0.65
airship,飞艇,0.65
airshow,航展,0.65
aisle,过道,0.8
alarm,警报,0.65
alarm clock,闹钟,0.65
mollymawk,信天翁,0.65
album,唱片,0.65
album cover,唱片封面,0.65
alcohol,酒精,0.61
alcove,壁龛,0.65
algae,水藻,0.65
alley,胡同/球道,0.65
almond,杏仁,0.65
aloe vera,芦荟,0.65
alp,高山,0.8
alpaca,羊驼,0.65
alphabet,字母表,0.65
german shepherd,德国牧羊犬,0.65
altar,圣坛,0.65
amber,琥珀,0.65
ambulance,救护车,0.65
bald eagle,秃鹰,0.65
American shorthair,美国短毛猫,0.65
amethyst,紫水晶,0.65
amphitheater,圆形剧场,0.65
amplifier,扩音器,0.65
amusement park,游乐园,0.65
amusement ride,游乐设施,0.65
anchor,锚,0.65
ancient,古老的,0.8
anemone,海葵,0.65
angel,天使,0.8
angle,角,0.8
animal,动物,0.7
animal sculpture,动物雕塑,0.65
animal shelter,动物收容所,0.65
animation,动画片,0.8
animation film,动画电影,0.65
animator,动画师,0.65
anime,动漫,0.8
ankle,脚踝,0.65
anklet,短袜,0.65
anniversary,周年庆,0.65
trench coat,风衣,0.65
ant,蚂蚁,0.65
antelope,羚羊,0.82
antique,古董,0.8
antler,鹿角,0.65
anvil,铁砧,0.65
apartment,公寓,0.8
ape,猿,0.65
app,应用程序,0.8
app icon,应用图标,0.65
appear,出现,0.65
appearance,外观,0.65
appetizer,开胃菜,0.65
applause,掌声,0.65
apple,苹果,0.9
apple juice,苹果汁,0.65
apple pie,苹果派,0.65
apple tree,苹果树,0.65
applesauce,苹果酱,0.65
appliance,设备,0.65
appointment,约定,0.65
approach,通道,0.65
apricot,杏子,0.65
apron,围裙,0.65
aqua,浅绿色,0.65
aquarium,水族馆,0.8
aquarium fish,观赏鱼,0.65
aqueduct,渡槽,0.65
arcade,游乐中心,0.65
arcade machine,商场游戏机,0.65
arch,拱门,0.8
arch bridge,拱桥,0.65
archaelogical excavation,考古现场,0.65
archery,射箭,0.65
archipelago,群岛,0.65
architect,建筑师,0.65
architecture,建筑设计,0.8
archive,档案,0.65
archway,拱门,0.65
area,地区,0.8
arena,竞技场,0.65
argument,争论,0.65
arm,手臂,0.8
armadillo,穿山甲,0.65
armband,臂章,0.65
armchair,扶手椅,0.65
armoire,衣柜,0.65
armor,盔甲,0.65
army,军队,0.8
army base,军事基地,0.65
army tank,坦克,0.65
array,阵列,0.65
arrest,逮捕,0.65
arrow,箭头,0.8
art,艺术,0.8
art exhibition,艺术展,0.65
art gallery,美术馆,0.85
art print,艺术印刷品,0.8
art school,艺术学校,0.65
art studio,艺术工作室,0.65
art vector illustration,艺术矢量插图,0.65
artichoke,洋蓟,0.65
article,文章,0.8
artifact,手工艺品,0.65
artist,艺术家,0.8
artists loft,艺术阁楼,0.65
ash,灰,0.65
ashtray,烟灰缸,0.65
asia temple,亚洲寺庙,0.65
asparagus,芦笋,0.65
asphalt road,沥青道路,0.65
assemble,组装,0.65
assembly,集会,0.65
assembly line,生产流水线,0.65
association,协会,0.65
astronaut,宇航员,0.65
astronomer,天文学家,0.65
athlete,运动员,0.8
athletic,运动,0.65
atlas,地图集,0.65
atm,自助取款机,0.65
atmosphere,大气层,0.65
atrium,中庭,0.65
attach,连接,0.65
fighter jet,战斗机,0.65
attend,参加,0.8
attraction,吸引力,0.65
atv,全地形车,0.65
eggplant,茄子,0.77
auction,拍卖,0.65
audi,奥迪汽车,0.65
audio,音频,0.65
auditorium,礼堂,0.9
aurora,极光,0.65
author,作者,0.65
auto factory,汽车厂,0.65
auto mechanic,汽车修理工,0.65
auto part,汽车零件,0.65
auto show,车展,0.65
auto showroom,汽车展厅,0.65
car battery,汽车电池,0.65
automobile make,汽车制造,0.65
automobile model,汽车模型,0.8
motor vehicle,汽车,0.65
autumn,秋天,0.89
autumn forest,秋天的森林,0.65
autumn leave,秋天的叶子,0.8
autumn park,秋天的公园,0.65
autumn tree,秋天的树,0.65
avatar,阿凡达,0.65
avenue,林荫大道,0.65
aviator sunglasses,飞行员太阳镜,0.65
avocado,牛油果,0.65
award,奖品,0.8
award ceremony,颁奖典礼,0.65
award winner,获奖者,0.65
shed,棚,0.65
ax,斧头,0.65
azalea,杜鹃花,0.65
baboon,狒狒,0.78
baby,婴儿,0.8
baby bottle,奶瓶,0.65
baby carriage,婴儿车,0.65
baby clothe,婴儿衣服,0.65
baby elephant,小象,0.65
baby food,婴儿食品,0.65
baby seat,婴儿座椅,0.65
baby shower,迎婴派对,0.65
back,背后/后面,0.8
backdrop,背景,0.65
backlight,背光,0.65
backpack,背包,0.9
backyard,后院,0.8
bacon,培根,0.65
badge,徽章,0.65
badger,獾,0.65
badlands,荒地,0.65
badminton,羽毛球运动,0.65
badminton racket,羽毛球拍,0.65
bag,袋子,0.8
bagel,面包圈,0.65
bagpipe,风笛,0.65
baguette,法棍,0.65
bait,诱饵,0.65
baked goods,焙烤食品,0.65
baker,面包师,0.65
bakery,面包店,0.65
baking,烘焙,0.65
baking sheet,烤盘,0.65
balance,平衡,0.65
balance car,平衡车,0.65
balcony,阳台,0.8
ball,球,0.8
ball pit,球池,0.65
ballerina,芭蕾舞女演员,0.65
ballet,芭蕾舞,0.65
ballet dancer,芭蕾舞演员,0.65
ballet skirt,芭蕾舞裙,0.65
balloon,气球,0.8
balloon arch,气球拱门,0.65
baseball player,棒球手,0.8
ballroom,舞厅,0.65
bamboo,竹子,0.9
bamboo forest,竹林,0.65
banana,香蕉,0.83
banana bread,香蕉面包,0.65
banana leaf,香蕉叶子,0.65
banana tree,香蕉树,0.65
band,乐队,0.8
band aid,创可贴,0.65
bandage,绷带,0.65
headscarf,头巾,0.8
bandeau,束发带,0.65
bangs,刘海,0.65
bracelet,手镯,0.79
balustrade,栏杆,0.65
banjo,五弦琴,0.65
bank,银行,0.8
bank card,银行卡,0.65
bank vault,银行金库,0.65
banknote,纸币,0.65
banner,横幅/旗帜,0.89
banquet,宴会,0.65
banquet hall,宴会厅,0.65
banyan tree,榕树,0.65
baozi,包子,0.65
baptism,洗礼,0.65
bar,酒吧,0.9
bar code,条形码,0.65
bar stool,高脚凳,0.65
barbecue,烧烤,0.86
barbecue grill,烧烤架,0.65
barbell,杠铃,0.65
barber,理发师,0.65
barber shop,理发店,0.65
barbie,芭比娃娃,0.65
barge,驳船,0.65
barista,咖啡师,0.65
bark,树皮,0.65
barley,大麦,0.65
barn,谷仓,0.8
barn owl,仓鸮,0.65
barn door,挡光板,0.65
barrel,桶,0.8
barricade,路障,0.65
barrier,屏障,0.65
handcart,手推车,0.65
bartender,酒保,0.65
baseball,棒球,0.79
baseball base,棒球基地,0.65
baseball bat,棒球棒,0.63
baseball hat,棒球帽,0.65
baseball stadium,棒球场,0.87
baseball game,棒球比赛,0.8
baseball glove,棒球手套,0.46
baseball pitcher,棒球投手,0.65
baseball team,棒球队,0.65
baseball uniform,棒球制服,0.65
basement,地下室,0.65
basil,罗勒,0.65
basin,水盆,0.65
basket,篮子,0.8
basket container,篮子,0.65
basketball,篮球,0.9
basketball backboard,篮球篮板,0.65
basketball coach,篮球教练,0.65
basketball court,篮球场,0.9
basketball game,篮球比赛,0.65
basketball hoop,篮球框,0.65
basketball player,篮球运动员,0.8
basketball stadium,篮球馆,0.65
basketball team,篮球队,0.65
bass,贝斯,0.65
bass guitar,低音吉他,0.65
bass horn,低音喇叭,0.65
bassist,贝斯手,0.65
bat,球棒/球拍,0.65
bath,浴室,0.8
bath heater,水浴加热器,0.65
bath mat,浴垫,0.65
bath towel,浴巾,0.65
swimwear,泳装,0.65
bathrobe,浴袍,0.65
bathroom,浴室,0.8
bathroom accessory,浴室配件,0.65
bathroom cabinet,浴室柜,0.65
bathroom door,浴室门,0.65
bathroom mirror,浴室镜子,0.65
bathroom sink,浴室水槽,0.65
toilet paper,卫生纸,0.65
bathroom window,浴室窗户,0.65
batman,蝙蝠侠,0.8
wand,棒子,0.65
batter,接连猛打/击球员,0.65
battery,电池,0.65
battle,战斗,0.8
battle rope,战绳,0.65
battleship,战舰,0.65
bay,海湾,0.8
bay bridge,海湾大桥,0.65
bay window,凸窗,0.65
bayberry,杨梅,0.65
bazaar,集市,0.65
beach,海滩,0.9
beach ball,沙滩球,0.65
beach chair,沙滩椅,0.65
beach house,海滨别墅,0.65
beach hut,海滩小屋,0.65
beach towel,沙滩毛巾,0.65
beach volleyball,沙滩排球,0.65
lighthouse,灯塔,0.65
bead,珠子,0.8
beagle,比格犬,0.65
beak,鸟嘴,0.65
beaker,烧杯,0.65
beam,横梁,0.65
bean,豆子,0.65
bean bag chair,豆袋椅,0.65
beanbag,豆袋,0.65
bear,熊,0.9
bear cub,幼熊,0.65
beard,胡子,0.8
beast,野兽,0.65
beat,击打/击败,0.8
beautiful,美丽的,0.8
beauty,美丽,0.8
beauty salon,美容院,0.65
beaver,海狸,0.65
bed,床,0.84
bedcover,床单,0.65
bed frame,床架,0.65
bedroom,卧室,0.79
bedding,床上用品,0.65
bedpan,便盆,0.65
bedroom window,卧室窗户,0.65
bedside lamp,床头灯,0.65
bee,蜜蜂,0.8
beech tree,山毛榉,0.65
beef,牛肉,0.65
beekeeper,养蜂人,0.65
beeper,蜂鸣器,0.65
beer,啤酒,0.8
beer bottle,啤酒瓶,0.65
beer can,啤酒罐,0.65
beer garden,啤酒花园,0.65
beer glass,啤酒杯,0.65
beer hall,啤酒馆,0.65
beet,甜菜,0.65
beetle,甲虫,0.65
beige,米色,0.8
clock,时钟,0.81
bell pepper,甜椒,0.65
bell tower,钟楼,0.8
belt,皮带,0.65
belt buckle,皮带扣,0.65
bench,长凳,0.9
bend,弯曲,0.65
bengal tiger,孟加拉虎,0.65
bento,盒饭,0.65
beret,贝雷帽,0.65
berry,浆果,0.8
berth,停泊位,0.65
beverage,饮料,0.65
bib,围嘴,0.65
bibimbap,拌饭,0.65
bible,圣经,0.65
bichon,比熊,0.65
bicycle,自行车,0.9
bicycle helmet,自行车头盔,0.65
bicycle wheel,自行车车轮,0.65
biker,自行车骑士,0.8
bidet,坐浴盆,0.65
big ben,大本钟,0.65
bike lane,自行车道,0.65
bike path,自行车道,0.65
bike racing,自行车赛,0.65
bike ride,骑车,0.65
bikini,比基尼,0.9
bikini top,比基尼上衣,0.65
bill,账单,0.65
billard,台球,0.65
billboard,广告牌,0.87
billiard table,台球台,0.65
bin,垃圾箱,0.65
binder,活页夹,0.65
binocular,双筒望远镜,0.65
biology laboratory,生物学实验室,0.65
biplane,双翼飞机,0.65
birch,桦木,0.65
birch tree,桦树,0.65
bird,鸟,0.83
bird bath,鸟池,0.65
bird feeder,喂鸟器,0.65
bird house,鸟舍,0.65
bird nest,鸟巢,0.65
birdbath,鸟池,0.65
bird cage,鸟笼,0.65
birth,出生,0.65
birthday,生日,0.77
birthday cake,生日蛋糕,0.87
birthday candle,生日蜡烛,0.65
birthday card,生日贺卡,0.65
birthday party,生日聚会,0.8
biscuit,饼干,0.8
bishop,主教,0.65
bison,野牛,0.65
bit,钻头,0.65
bite,咬,0.65
black,黑色,0.85
black sheep,黑山羊,0.65
blackberry,黑莓,0.68
blackbird,乌鸦,0.65
blackboard,黑板,0.8
blacksmith,铁匠,0.65
blade,叶片/刀片,0.65
blanket,毯子/覆盖层,0.75
sports coat,运动外套,0.8
bleacher,看台,0.65
blender,搅拌机,0.65
blessing,祝福,0.65
blind,窗帘,0.65
eye mask,眼罩,0.65
flasher,闪光,0.65
snowstorm,暴风雪,0.65
block,块,0.8
blog,博客,0.65
blood,血,0.65
bloom,开花,0.8
blossom,花,0.8
blouse,女装衬衫,0.8
blow,吹,0.8
hair drier,吹风机,0.79
blowfish,河豚,0.65
blue,蓝色,0.85
blue artist,蓝色艺术家,0.65
blue jay,蓝松鸦,0.65
blue sky,蓝天,0.65
blueberry,蓝莓,0.9
bluebird,蓝知更鸟,0.65
pig,猪,0.89
board,板子,0.8
board eraser,板擦,0.65
board game,棋盘游戏,0.65
boardwalk,木板路,0.65
boat,船,0.76
boat deck,船甲板,0.65
boat house,船屋,0.65
paddle,桨,0.65
boat ride,乘船,0.65
bobfloat,浮标,0.65
bobcat,山猫,0.65
body,躯干,1
bodyboard,身体冲浪板,0.65
bodybuilder,健美运动员,0.65
boiled egg,水煮鸡蛋,0.65
boiler,锅炉,0.65
bolo tie,饰扣式领带,0.65
bolt,门闩,0.65
bomb,炸弹,0.65
bomber,轰炸机,0.65
bonasa umbellu,披肩榛鸡,0.65
bone,骨骼,0.8
bonfire,篝火,0.65
bonnet,阀盖,0.65
bonsai,盆景,0.65
book,书,0.9
book cover,书籍封面,0.65
bookcase,书柜,0.89
folder,文件夹,0.7
bookmark,书签,0.65
bookshelf,书架,0.65
bookstore,书店,0.65
boom microphone,远程拾音器,0.65
boost,推动,0.65
boot,靴子,0.8
border,边界,0.8
Border collie,边境牧羊犬,0.65
botanical garden,植物园,0.65
bottle,瓶,0.71
bottle cap,瓶盖,0.65
bottle opener,开瓶器,0.65
bottle screw,螺旋开瓶器,0.65
bougainvillea,三角梅,0.65
boulder,巨石,0.65
bouquet,花束,0.8
boutique,时装店,0.65
boutique hotel,精品酒店,0.65
bow,鞠躬/蝴蝶结,0.8
bow tie,领结,0.65
bow window,弓形窗,0.65
bowl,碗,0.9
bowling,保龄球运动,0.65
bowling alley,保龄球馆,0.65
bowling ball,保龄球,0.65
bowling equipment,保龄球设备,0.65
box,盒子,0.8
box girder bridge,箱形梁桥,0.65
box turtle,箱龟,0.65
boxer,拳击手,0.65
underdrawers,内裤,0.65
boxing,拳击,0.65
boxing glove,拳击手套,0.65
boxing ring,拳击台,0.65
boy,男孩,0.8
brace,支撑物,0.65
bracket,支架,0.65
braid,辫子,0.8
brain,大脑,0.8
brake,刹车,0.65
brake light,刹车灯,0.65
branch,树枝,0.8
brand,商标,0.8
brandy,白兰地,0.65
brass,黄铜,0.65
brass plaque,黄铜牌匾,0.65
bread,面包,0.8
breadbox,面包箱,0.65
break,休息,0.8
breakfast,早餐,0.8
seawall,防浪堤,0.65
chest,胸部,0.8
brewery,啤酒厂,0.65
brick,砖块,0.8
brick building,砖建筑物,0.8
wall,墙,0.9
brickwork,砖块,0.65
wedding dress,婚纱,0.85
bride,新娘,0.8
groom,新郎,0.8
bridesmaid,伴娘,0.8
bridge,桥,0.9
bridle,缰绳,0.65
briefcase,公文包,0.65
bright,明亮的,0.8
brim,边沿,0.65
broach,钻头,0.65
broadcasting,广播,0.65
broccoli,西兰花,0.75
bronze,青铜,0.65
bronze medal,铜牌,0.65
bronze sculpture,青铜雕塑,0.65
bronze statue,青铜雕像,0.65
brooch,胸针,0.65
creek,小溪,0.65
broom,扫帚,0.65
broth,肉汤,0.65
brown,棕色,0.8
brown bear,棕熊,0.65
brownie,巧克力蛋糕,0.65
brunch,早午餐,0.65
brunette,浅黑肤色的女人,0.65
brush,刷子,0.65
coyote,郊狼,0.65
brussels sprout,包菜,0.65
bubble,气泡,0.65
bubble gum,泡泡糖,0.65
bubble tea,珍珠奶茶,0.65
bucket cabinet,斗柜,0.65
shield,盾牌,0.65
bud,芽,0.65
buddha,佛,0.65
buffalo,水牛,0.65
buffet,自助餐,0.65
bug,昆虫,0.65
build,建造,0.8
builder,建造者,0.65
building,建筑,0.8
building block,积木,0.65
building facade,建筑立面,0.65
building material,建筑材料,0.65
lamp,灯,0.63
bull,牛,0.65
bulldog,斗牛犬,0.65
bullet,子弹,0.65
bullet train,动车,0.65
bulletin board,公告栏,0.65
bulletproof vest,防弹背心,0.65
bullfighting,斗牛,0.65
megaphone,扩音器,0.65
bullring,斗牛场,0.65
bumblebee,大黄蜂,0.65
bumper,保险杠,0.65
roll,卷/地形起伏,0.8
bundle,捆,0.65
bungee,蹦极,0.65
bunk bed,双层床,0.65
bunker,地堡/击球,0.65
bunny,兔子,0.8
buoy,浮标,0.65
bureau,书桌,0.65
burial chamber,墓室,0.65
burn,燃烧,0.8
burrito,玉米煎饼,0.65
bus,公交车,0.88
bus driver,公交车司机,0.65
bus interior,公交车内部,0.65
bus station,公交车站,0.65
bus stop,公交车站,0.65
bus window,公交车窗户,0.65
bush,灌木,0.8
business,商业,0.8
business card,名片,0.71
business executive,业务主管,0.65
business suit,商务西装,0.65
business team,业务团队,0.65
business woman,女商人,0.8
businessman,商人,0.8
bust,半身像,0.65
butcher,屠夫,0.65
butchers shop,肉铺,0.65
butte,孤峰,0.65
butter,黄油,0.65
cream,奶油,0.8
butterfly,蝴蝶,0.9
butterfly house,蝴蝶馆,0.65
button,按钮,0.8
buttonwood,梧桐树,0.65
buy,购买,0.65
taxi,出租车,0.65
cabana,小屋,0.65
cabbage,卷心菜,0.65
cabin,小屋/机舱,0.8
cabin car,守车,0.65
cabinet,储藏柜,0.71
cabinetry,橱柜,0.65
cable,电缆,0.8
cable car,缆车,0.76
cactus,仙人掌,0.85
cafe,咖啡馆,0.8
canteen,食堂,0.65
cage,笼子,0.65
cake,蛋糕,0.8
cake stand,蛋糕台,0.65
calculator,计算器,0.79
caldron,大锅,0.65
calendar,日历,0.75
calf,小腿,0.65
call,通话,0.8
phone box,电话亭,0.65
calligraphy,书法,0.86
calm,平静的,0.65
camcorder,摄像机,0.65
camel,骆驼,0.9
camera,相机,0.9
camera lens,相机镜头,0.65
camouflage,迷彩,0.65
camp,露营,0.65
camper,露营者,0.65
campfire,篝火,0.65
camping,露营,0.73
campsite,营地,0.65
campus,校园,0.65
can,罐,0.65
can opener,开罐器,0.65
canal,运河,0.8
canary,金丝雀,0.65
cancer,癌症,0.65
candle,蜡烛,0.9
candle holder,烛台,0.65
candy,糖果,0.85
candy bar,块状糖,0.65
candy cane,柺杖糖,0.65
candy store,糖果店,0.65
cane,拐杖,0.65
jar,罐子,0.8
cannon,大炮,0.75
canopy,树冠/顶棚,0.65
canopy bed,四柱床,0.65
cantaloupe,香瓜,0.65
cantilever bridge,悬臂桥,0.65
canvas,帆布,0.8
canyon,峡谷,0.85
cap,帽子,0.8
cape,斗篷,0.65
cape cod,科德角,0.65
cappuccino,卡布奇诺,0.65
capsule,胶囊,0.65
captain,队长,0.65
capture,捕获,0.65
car,车,0.77
car dealership,汽车经销商,0.65
car door,车门,0.65
car interior,汽车内饰,0.65
car logo,车标,0.65
car mirror,后视镜,0.65
parking lot,停车场,0.86
car seat,汽车座椅,0.65
car show,车展,0.65
car wash,洗车,0.65
car window,车窗,0.65
caramel,焦糖,0.65
card,卡片,0.8
card game,纸牌游戏,0.65
cardboard,纸板,0.6
cardboard box,纸板盒,0.65
cardigan,羊毛衫,0.65
cardinal,红衣凤头鸟,0.65
cargo,货物,0.65
cargo aircraft,货运飞机,0.65
cargo ship,货船,0.65
caribbean,加勒比,0.65
carnation,康乃馨,0.65
carnival,狂欢节,0.65
carnivore,食肉动物,0.65
carousel,旋转木马,0.74
carp,鲤鱼,0.65
carpenter,木匠,0.65
carpet,地毯,0.67
slipper,拖鞋,0.65
house finch,红雀,0.65
coach,长途客车,0.8
dalmatian,斑点狗,0.65
aircraft carrier,航空母舰,0.65
carrot,胡萝卜,0.85
carrot cake,胡萝卜蛋糕,0.65
carry,携带,0.8
cart,手推车,0.65
carton,纸箱/纸盒,0.65
cartoon,卡通,0.84
cartoon character,卡通人物,0.8
cartoon illustration,卡通插图,0.8
cartoon style,卡通风格,0.8
carve,雕刻,0.8
case,容器,0.8
cash,现金,0.65
cashew,腰果,0.65
casino,赌场,0.65
casserole,砂锅,0.65
cassette,磁带,0.65
cassette deck,盒式录音机,0.65
plaster bandage,石膏绷带,0.8
casting,铸造,0.65
castle,城堡,0.9
cat,猫,0.9
cat bed,猫窝,0.65
cat food,猫粮,0.65
cat furniture,猫器具,0.65
cat tree,猫架,0.65
catacomb,地下墓穴,0.65
catamaran,双体船,0.65
catamount,美洲狮,0.65
catch,握着/抓着,0.8
catcher,捕手,0.65
caterpillar,毛毛虫,0.65
catfish,鲶鱼,0.65
cathedral,教堂,0.8
cattle,牛,0.89
catwalk,猫步,0.65
catwalk show,走秀,0.65
cauliflower,菜花,0.65
cave,洞穴,0.83
caviar,鱼子酱,0.65
CD,光盘,0.65
CD player,CD播放器,0.65
cedar,雪松,0.65
ceiling,天花板,0.6
ceiling fan,吊扇,0.65
celebrate,庆祝,0.8
celebration,庆典,0.8
celebrity,名人,0.8
celery,芹菜,0.65
cello,大提琴,0.65
smartphone,手机,0.89
cement,水泥,0.65
graveyard,墓地,0.65
centerpiece,中心装饰品,0.65
centipede,蜈蚣,0.65
ceramic,陶瓷,0.8
ceramic tile,瓷砖,0.65
